### Material table data exported from WELSIM
### 2020-08-21 Friday 15:26                       
               Frequency   Magnetic_Flux_Density               Core_Loss                       
                       -                       -                       -                       
             Independent             Independent               Dependent                       
                       1                       0                       0                       
                       1                     0.1                   0.004                       
                       1                     0.2                   0.014                       
                       1                     0.3                   0.028                       
                       1                     0.4                   0.044                       
                       1                     0.5                   0.064                       
                       1                     0.6                   0.086                       
                       1                     0.7                    0.11                       
                       1                     0.8                   0.138                       
                       1                     0.9                    0.17                       
                       1                       1                   0.207                       
                      50                       0                       0                       
                      50                     0.1                   0.376                       
                      50                     0.2                    1.42                       
                      50                     0.3                   3.034                       
                      50                     0.4                   5.189                       
                      50                     0.5                   7.839                       
                     100                       0                       0                       
                     100                     0.1                   1.064                       
                     100                     0.2                   3.894                       
                     100                     0.3                   8.127                       
                     100                     0.4                  13.173                       
                     200                       0                       0                       
                     200                     0.1                   2.756                       
                     200                     0.2                   9.481                       
                     200                     0.3                  19.708                       
                     200                     0.4                  30.319                       
                     250                       0                       0                       
                     250                     0.1                   3.701                       
                     250                     0.2                  12.911                       
                     250                     0.3                  25.774                       
